student_id,gender,age,city_tier,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_stream,degree_percentage,degree_field,mba_percentage,specialization,internships_count,projects_count,certifications_count,technical_skills_score,soft_skills_score,aptitude_score,communication_score,work_experience_months,leadership_roles,extracurricular_activities,backlogs,placed,salary_lpa
STU000001,Male,22,Tier 1,71.01,State,76.76,CBSE,Commerce,64.44,Engineering,0.0,None,1,2,2,6.8,7.8,62.1,6.2,14,1,10,0,1,12.24
STU000002,Female,22,Tier 2,58.46,CBSE,57.62,State,Science,68.24,Business,0.0,None,1,1,2,4.6,4.8,58.7,7.2,5,1,4,0,1,10.09
STU000003,Female,21,Tier 1,67.83,CBSE,65.67,State,Commerce,52.33,Engineering,0.0,None,4,3,2,4.7,5.0,58.9,5.0,30,2,1,0,1,14.94
STU000004,Female,21,Tier 2,80.4,CBSE,77.15,State,Science,56.55,Engineering,0.0,None,2,3,3,6.8,7.6,35.0,8.3,31,0,5,0,1,15.49
STU000005,Male,21,Tier 1,66.1,State,62.81,ICSE,Science,78.93,Engineering,0.0,None,1,4,2,7.0,5.7,54.0,5.4,24,0,2,0,1,15.13
STU000006,Male,22,Tier 1,71.26,State,67.53,State,Science,54.5,Engineering,0.0,None,1,6,8,5.5,6.2,65.5,4.1,31,0,2,1,1,17.65
STU000007,Male,23,Tier 2,51.92,State,55.72,ICSE,Science,45.0,Engineering,0.0,None,2,2,0,4.3,5.0,34.4,5.4,27,0,0,6,0,0.0
STU000008,Female,23,Tier 3,84.52,ICSE,77.08,State,Commerce,50.09,Business,50.77,Marketing & Finance,4,5,3,2.5,4.2,53.9,4.4,0,0,4,1,1,10.17
STU000009,Female,21,Tier 2,81.37,CBSE,68.22,CBSE,Commerce,59.62,Engineering,66.15,Finance & HR,1,4,0,8.7,9.5,47.9,10.0,0,1,3,0,1,9.92
STU000010,Female,21,Tier 1,94.13,CBSE,94.66,ICSE,Commerce,84.05,Other,63.27,Marketing & HR,0,1,2,7.1,7.4,35.7,6.3,0,0,3,0,1,11.72
